Company,Product,Price,Weight,Complex.,Memory,Battery,Style
red,Scarlet,-8.4,-11.2,-11.9,-6.6,-6.1,-5.8
red,Crimson,15.9,6.2,-22.4,5.3,3.1,6.9
orange,Navel,14.5,0.6,-3.5,-1.4,3.3,5.9
orange,Mandarin,-11,-15,-11.1,-11.5,-17.8,-5.6
yellow,Sunshine,-1.2,-4.4,3.9,3.5,-2.2,3.4
yellow,PostIt,14.1,4.4,-14.8,-20.7,-16.3,-10.2
green,Kermit,-0.6,4.5,5.4,12.1,-18.3,1.6
green,Leaf,-0.7,-18.1,-1.4,-8.1,-15,16.8
green,Duke,16.2,-5.8,-8.1,-8.1,-6.5,-8.1
blue,Ocean,-7.4,-20,-20.1,7.6,-5.6,-11.5
blue,Sky,0.1,-10,1.8,-6.1,-19.4,7.6
blue,Denim,0,-10,-0.5,-6.1,-19.4,10.3
blue,Azul,15.5,9.6,-1.4,-4.1,6.6,-8.8
purple,Grape,-8.6,-11.2,-8.8,-8.8,-8.9,-8.8
purple,Rain,-0.1,-15,5.9,9.6,-10.6,9.6
